id,level,hanzi,pinyin,display_meaning_vi,meaning_en,part_of_speech,topic_tags,exam_tags,register,grammar_pattern,app_note_vi,app_synonym_note_vi,app_collocation_top,app_example_vi,content_status,needs_reference_check
hsk5_batch1_012,HSK5,负责,fùzé,,to be responsible for,verb,work|responsibility,meaning|collocation|usage,neutral,负责 + 项目 / 工作 / 部门,"Thường đi với 项目, 工作 và 结果.","负责 = chịu trách nhiệm; 管理 = quản lý, điều hành.",,,,
hsk5_batch1_013,HSK5,管理,guǎnlǐ,,to manage; management,verb/noun,work|organization,meaning|reading|collocation,neutral,管理 + 公司 / 团队 / 时间,Rất hữu ích trong ngữ cảnh công việc và tổ chức.,"管理 = điều hành, quản lý; 控制 = kiểm soát.",,,,
hsk5_batch1_014,HSK5,效率,xiàolǜ,,efficiency,noun,work|study|productivity,meaning|reading|collocation,neutral,提高效率 / 工作效率 / 学习效率,"Hay đi với 提高, 工作, 学习.",效率 = hiệu suất; 效果 = kết quả/tác dụng.,,,,
hsk5_batch1_015,HSK5,沟通,gōutōng,,communication; to communicate,noun/verb,work|relationship,meaning|usage|collocation,neutral,沟通 + 问题 / 能力 / 方式,Rất hay dùng trong công việc và các mối quan hệ.,沟通 = làm cho hiểu nhau; 交流 = trao đổi rộng hơn.,,,,
hsk5_batch1_016,HSK5,竞争,jìngzhēng,,competition; to compete,noun/verb,work|society|economy,reading|meaning|context,neutral,竞争 + 激烈 / 优势 / 压力,"Thường gặp trong chủ đề thị trường, xã hội và công việc.",竞争 = cạnh tranh rộng; 比赛 = cuộc thi/thi đấu cụ thể.,,,,
hsk5_batch1_017,HSK5,判断,pànduàn,,judgment; to judge,noun/verb,reasoning|decision,meaning|reading|logic,neutral,判断 + 标准 / 能力 / 是否,Dùng khi đánh giá trước khi quyết định.,判断 = phán đoán; 决定 = quyết định cuối cùng.,,,,
hsk5_batch1_018,HSK5,选择,xuǎnzé,,choice; to choose,noun/verb,decision|daily life,meaning|usage,neutral,选择 + 方法 / 方向 / 机会,Rộng hơn “chọn đồ”; thường dùng cho cơ hội và quyết định.,选择 = chọn theo quyết định; 挑选 = chọn vật/cái cụ thể.,,,,
hsk5_batch1_019,HSK5,目标,mùbiāo,,goal; target,noun,planning|growth|work,meaning|collocation,neutral,目标 + 明确 / 实现 / 设定,"Rất hay gặp trong học tập, công việc và phát triển bản thân.",目标 = đích đến; 目的 = mục đích/lý do.,,,,
hsk5_batch1_020,HSK5,结果,jiéguǒ,,result; outcome,noun,cause-effect|reasoning,meaning|reading|cloze,neutral,结果 + 表明 / 说明 / 不同,"Hay gặp trong câu kết luận, báo cáo và phân tích.","结果 = kết quả trung tính; 后果 = hậu quả, thường tiêu cực hơn.",,,,
hsk5_batch1_021,HSK5,解释,jiěshì,,to explain,verb,reasoning|communication,meaning|cloze|usage,neutral,解释 + 原因 / 问题 / 现象,Hay gặp khi cần nói rõ lý do hoặc nguyên nhân.,解释 = giải thích; 说明 = trình bày/làm rõ rộng hơn.,,,,
hsk5_batch1_022,HSK5,分析,fēnxī,,to analyze; analysis,verb/noun,reasoning|academic,reading|meaning|logic,formal,分析 + 原因 / 问题 / 数据,"Rất mạnh cho reading, học thuật và giải thích logic.",分析 = phân tích; 研究 = nghiên cứu sâu hơn.,,,,
hsk5_batch1_023,HSK5,证明,zhèngmíng,,to prove; proof,verb/noun,argument|logic,reading|cloze|meaning,formal,证明 + 观点 / 自己 / 结果,Thường đi cùng事实 hoặc các lập luận có bằng chứng.,证明 = chứng minh có bằng chứng; 说明 = giải thích/làm rõ.,,,,
hsk5_batch1_024,HSK5,结论,jiélùn,,conclusion,noun,argument|academic,reading|meaning|logic,formal,得出结论 / 最后的结论 / 结论是…,"Hay dùng trong bài viết phân tích, nghiên cứu và lập luận.",结论 = kết luận; 结果 = kết quả chung.,,,,
hsk5_batch1_025,HSK5,观点,guāndiǎn,,viewpoint; opinion,noun,argument|discussion,reading|meaning|opinion,neutral,观点 + 不同 / 明确 / 一致,Rất hay gặp trong bài nêu ý kiến và đọc hiểu quan điểm.,观点 = quan điểm trang trọng hơn; 看法 = cách nhìn/ý kiến gần gũi hơn.,,,,
hsk5_batch1_026,HSK5,根据,gēnjù,,according to; on the basis of,preposition/noun,argument|formal,reading|cloze|logic,formal,根据 + 数据 / 情况 / 规定,Rất hay dùng trong bài viết formal và câu giải thích có căn cứ.,根据 = căn cứ vào; 按照 = làm theo.,,,,
hsk5_batch1_027,HSK5,讨论,tǎolùn,,to discuss; discussion,verb/noun,communication|work|study,meaning|usage|collocation,neutral,讨论 + 问题 / 方案 / 结果,"Hay gặp trong họp, học tập và trao đổi ý kiến.",讨论 = bàn/thảo luận có trao đổi; 谈论 = nói về một chủ đề.,,,,
hsk5_batch1_028,HSK5,研究,yánjiū,,to research; research,verb/noun,academic|analysis,reading|meaning|formal,formal,研究 + 问题 / 方法 / 结果,"Rất mạnh cho bài đọc, học thuật và văn phong formal.",研究 = nghiên cứu sâu; 分析 = phân tích.,,,,
hsk5_batch1_029,HSK5,证据,zhèngjù,bằng chứng,evidence,noun,argument|logic,reading|meaning|cloze,formal,证据 + 足够 / 表明 / 证明,"Hay đi cùng 结论, 证明 và các bài đọc lập luận.",证据 = bằng chứng; 证明 = chứng minh.,,,,
hsk5_batch1_030,HSK5,理由,lǐyóu,lý do,reason,noun,argument|reasoning,meaning|cloze|usage,neutral,理由 + 充分 / 合理 / 不明确,"Hay gặp trong giải thích, tranh luận và biện minh.",理由 = lý do nêu ra; 原因 = nguyên nhân khách quan.,,,,
hsk5_batch1_031,HSK5,说明,shuōmíng,giải thích; cho thấy,to explain; to illustrate; to show,verb,argument|formal,meaning|reading|cloze,neutral,说明 + 问题 / 原因 / 情况,Rất hay dùng trong câu kết luận và giải thích formal.,说明 = giải thích/cho thấy; 解释 = giải thích rõ nguyên nhân hoặc ý nghĩa.,,,,
hsk5_batch1_032,HSK5,压力,yālì,áp lực,pressure; stress,noun,emotion|psychology,meaning|context,neutral,压力 + 很大 / 过大 / 来自,"Rất thường gặp trong các chủ đề học tập, công việc và cảm xúc.",压力 = áp lực; 负担 = gánh nặng/trách nhiệm phải mang.,,,,
hsk5_batch1_033,HSK5,信心,xìnxīn,sự tự tin,confidence,noun,emotion|growth,meaning|usage,neutral,有信心 / 缺乏信心 / 增强信心,"Hay dùng trong các chủ đề thi cử, trưởng thành và tâm lý.",信心 = niềm tin/sự tự tin; 自信 = trạng thái tự tin của bản thân.,,,,
hsk5_batch1_034,HSK5,适应,shìyìng,thích nghi,to adapt; to get used to,verb,emotion|daily life|growth,meaning|cloze|usage,neutral,适应 + 环境 / 生活 / 变化,"Rất hay gặp khi nói về môi trường mới, công việc mới hoặc cuộc sống mới.",适应 = thích nghi; 习惯 = quen dần với điều gì đó.,,,,
hsk5_batch1_035,HSK5,独立,dúlì,độc lập,independent; independence,adjective/verb,growth|values,meaning|reading,neutral,独立 + 思考 / 完成 / 生活,"Hay dùng trong học tập, công việc và phát triển bản thân.","独立 = độc lập; 自主 = tự chủ, tự quyết.",,,,
hsk5_batch1_036,HSK5,冷静,lěngjìng,bình tĩnh,calm; composed,adjective/verb,emotion|psychology,meaning|usage,neutral,保持冷静 / 冷静下来 / 比较冷静,"Hay gặp trong lời khuyên, tâm lý và xử lý vấn đề.","冷静 = bình tĩnh, giữ đầu óc tỉnh táo; 平静 = yên tĩnh, bình yên hơn.",,,,
hsk5_batch1_037,HSK5,失望,shīwàng,thất vọng,to be disappointed; disappointment,verb/noun,emotion|reaction,meaning|usage,neutral,对……失望 / 感到失望 / 让人失望,"Dùng khi phản ứng với kết quả, người khác hoặc kỳ vọng không đạt.","失望 = thất vọng; 灰心 = nản chí, mất động lực.",,,,
hsk5_batch1_038,HSK5,后悔,hòuhuǐ,hối hận,to regret; regret,verb/noun,emotion|reflection,meaning|usage,neutral,后悔 + 决定 / 没有 + verb,Hay dùng trong tự nhìn lại bản thân và các quyết định đã qua.,后悔 = hối hận; 遗憾 = tiếc nuối.,,,,
hsk5_batch1_039,HSK5,满意,mǎnyì,hài lòng,satisfied; satisfaction,adjective/verb,emotion|evaluation,meaning|usage,neutral,对……满意 / 感到满意 / 不太满意,"Hay gặp trong đánh giá chất lượng, dịch vụ và kết quả.",满意 = hài lòng; 满足 = thỏa mãn/đáp ứng.,,,,
hsk5_batch1_040,HSK5,标题,biāotí,tiêu đề,title; headline,noun,media|reading,reading|meaning|headline,neutral,标题 + 吸引人 / 简短 / 明确,"Rất hữu ích cho đọc báo, bài viết và cấu trúc văn bản.",标题 = tiêu đề bài viết/tin tức; 题目 = đề bài/chủ đề rộng hơn.,,,,
hsk5_batch1_041,HSK5,报道,bàodào,đưa tin; bài đưa tin,to report; report coverage,verb/noun,media|news,reading|meaning|context,neutral,报道 + 新闻 / 事件 / 情况,Rất hay gặp trong bài đọc báo chí và truyền thông.,报道 = đưa tin; 报告 = báo cáo / trình bày.,,,,
hsk5_batch1_042,HSK5,采访,cǎifǎng,phỏng vấn,to interview; interview,verb/noun,media|communication,reading|meaning,neutral,采访 + 对象 / 记者 / 过程,Hay đi với 接受采访 và 记者采访.,采访 = phỏng vấn; 访问 = thăm/tiếp xúc chính thức hơn.,,,,
hsk5_batch1_043,HSK5,资料,zīliào,tư liệu; tài liệu,materials; data; reference materials,noun,study|reading|academic,reading|meaning|usage,neutral,资料 + 收集 / 整理 / 查阅,"Rất hữu ích trong học tập, đọc hiểu và viết báo cáo.",资料 = tư liệu/thông tin tra cứu; 材料 = tài liệu hoặc vật liệu rộng hơn.,,,,
hsk5_batch1_044,HSK5,内容,nèiróng,nội dung,content,noun,media|reading|academic,reading|meaning,neutral,内容 + 丰富 / 详细 / 主要,"Là từ nền rất hay gặp trong bài viết, sách và truyền thông.",内容 = nội dung tổng thể; 信息 = thông tin cụ thể.,,,,
hsk5_batch1_045,HSK5,结构,jiégòu,cấu trúc,structure,noun,reading|writing|analysis,reading|meaning|formal,formal,结构 + 清楚 / 合理 / 复杂,Rất quan trọng khi đọc viết và phân tích văn bản.,结构 = cấu trúc bên trong; 形式 = hình thức thể hiện.,,,,
hsk5_batch1_046,HSK5,正式,zhèngshì,trang trọng; chính thức,formal; official,adjective,register|formal,meaning|register|usage,formal,正式 + 场合 / 文件 / 开始,Từ nền quan trọng để phân biệt register ở HSK5.,正式 = trang trọng/chính thức; thường dùng trong ngữ cảnh formal.,,,,
hsk5_batch1_047,HSK5,甚至,shènzhì,thậm chí,even; to the extent that,adverb/conjunction,connector|reading,reading|cloze|logic,neutral,甚至 + 还 / 都 / 连,Rất hay gặp trong bài đọc và câu nhấn mạnh mức độ.,甚至 = thậm chí; 连 = ngay cả… cũng…,,,,
hsk5_batch1_048,HSK5,此外,cǐwài,ngoài ra; hơn nữa,besides; in addition,connector,connector|formal,reading|cloze|writing,formal,此外，…… / 除此之外,Từ nối rất hữu ích cho writing và reading formal.,"此外 = ngoài ra (formal hơn); 另外 = ngoài ra, dùng rộng hơn.",,,,
hsk5_batch1_049,HSK5,普遍,pǔbiàn,phổ biến,common; widespread,adjective/adverb,formal|society|reading,reading|meaning|usage,formal,普遍 + 存在 / 认为 / 现象,"Rất hay gặp trong đọc hiểu, xã hội và bài viết khái quát.",普遍 = phổ biến rộng; 常见 = thường thấy.,,,,
hsk5_batch1_050,HSK5,形成,xíngchéng,hình thành,to form; to take shape,verb,process|reading|formal,reading|cloze|meaning,formal,形成 + 习惯 / 结构 / 共识,"Hay dùng để nói quá trình hình thành thói quen, cấu trúc hoặc đồng thuận.",形成 = dần hình thành; 产生 = phát sinh/sinh ra.,,,,
