lesson_id,lesson_title_vi,lesson_title_zh,word_id,hanzi,pinyin,meaning_vi,meaning_en,notes
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_078,写,xiě,viết,to write,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_075,听,tīng,nghe,to listen,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_076,说,shuō,nói,"to speak, to say","Nói về việc học, trường, sách và môn học."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_030,水,shuǐ,nước,water,"Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_033,茶,chá,trà,tea,"Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_034,饭,fàn,"cơm, bữa ăn","meal, rice","Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_035,苹果,píngguǒ,táo,apple,"Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_031,吃,chī,ăn,to eat,"Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_032,喝,hē,uống,to drink,"Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M2-L6,Ăn uống hằng ngày,吃喝,hsk1_089,想,xiǎng,"muốn, nghĩ","to want, to think","Nói về món ăn, đồ uống và nhu cầu ăn uống cơ bản."
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_051,一,yī,một,one,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_052,二,èr,hai,two,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_053,三,sān,ba,three,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_054,四,sì,bốn,four,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_055,五,wǔ,năm,five,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_056,六,liù,sáu,six,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_057,七,qī,bảy,seven,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_058,八,bā,tám,eight,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_059,九,jiǔ,chín,nine,Nhận diện và dùng số 1–10.
HSK1-M3-L7,Số đếm cơ bản,数字,hsk1_060,十,shí,mười,ten,Nhận diện và dùng số 1–10.
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_042,今天,jīntiān,hôm nay,today,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_043,明天,míngtiān,ngày mai,tomorrow,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_044,昨天,zuótiān,hôm qua,yesterday,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_045,现在,xiànzài,bây giờ,now,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_046,点,diǎn,giờ,o'clock,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_047,分钟,fēnzhōng,phút,minute,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_048,月,yuè,tháng,month,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_049,日,rì,ngày,"day, date","Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L8,Thời gian và lịch,时间,hsk1_050,星期,xīngqī,tuần,week,"Biết diễn đạt hôm nay, ngày mai, giờ giấc và ngày tháng cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_071,去,qù,đi,to go,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_072,来,lái,đến,to come,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_073,回,huí,trở về,to return,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_082,住,zhù,"sống, ở","to live, reside","Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_093,车,chē,xe,"car, vehicle","Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_094,出租车,chūzūchē,taxi,taxi,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_095,飞机,fēijī,máy bay,airplane,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_096,门,mén,cửa,door,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_097,医院,yīyuàn,bệnh viện,hospital,"Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M3-L9,Đi lại và nơi chốn,出行,hsk1_098,商店,shāngdiàn,cửa hàng,"shop, store","Nói đi đâu, đến đâu và một số nơi chốn cơ bản."
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_074,看,kàn,"nhìn, xem, đọc","to look, to read",Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_079,买,mǎi,mua,to buy,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_080,开,kāi,mở,to open,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_081,坐,zuò,ngồi,to sit,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_084,工作,gōngzuò,"làm việc, công việc",to work; work,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_087,会,huì,"biết, có thể","can, to know how to",Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_088,能,néng,có thể,"can, be able to",Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_086,爱,ài,"yêu, yêu thích",to love,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L10,Hành động cơ bản,基本动作,hsk1_085,喜欢,xǐhuan,thích,to like,Diễn đạt các hành động thường gặp trong học tập và đời sống.
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_061,大,dà,"to, lớn",big,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_062,小,xiǎo,nhỏ,small,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_063,多,duō,nhiều,"many, much","Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_064,少,shǎo,ít,"few, little","Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_065,好,hǎo,tốt,good,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_066,冷,lěng,lạnh,cold,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_067,热,rè,nóng,hot,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_068,忙,máng,bận,busy,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_069,累,lèi,mệt,tired,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L11,Mô tả cơ bản,基本描述,hsk1_070,高兴,gāoxìng,vui,happy,"Mô tả người, vật và cảm giác bằng tính từ cơ bản."
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_008,不,bù,không,not,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_009,有,yǒu,có,to have,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_010,没有,méiyǒu,không có,to not have,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_091,天气,tiānqì,thời tiết,weather,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_092,下雨,xiàyǔ,mưa,to rain,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
HSK1-M4-L12,Tình huống hằng ngày,日常情景,hsk1_099,钱,qián,tiền,money,Ôn tập HSK1 qua các ngữ cảnh hằng ngày và từ chức năng còn lại.
